id;sifra_postupka;broj_partije;atc;inn;farmaceutski_oblik_lijeka;jacina_lijeka;trazena_kolicina;pakovanje;jedinica_mjere;procijenjena_vrijednost;jedinicna_cijena;karakteristika
1;17231;27313;Cape;Loan Saudi Borders;model leverage sensor;protocol Paraguay;99512;iterate;monetize Helena;26633;80978;frame
2;11877;55909;redundant;Table Minnesota;digital;vortals tan Garden;71590;SAS red;gold Account;15778;99341;high-level
3;1131;39319;Fresh;Integration action-items e-markets;hardware RAM Handmade;sticky withdrawal;76439;parsing;Steel;9281;41185;cyan
4;15807;36738;Cross-platform;Accounts optimize Dynamic;Ergonomic user-facing interfaces;architectures Rupiah;44021;Dynamic;Grocery Senior grid-enabled;74449;83377;Seamless payment Specialist
5;4108;98561;payment Prairie;Industrial methodologies;actuating Metal;visualize SDD Republic;99811;Lights Gorgeous Direct;Markets Seamless;75623;97039;bypassing online
6;32219;99849;demand-driven blockchains Alabama;grow executive Common;Licensed Officer;payment;64705;non-volatile Dynamic Fish;granular;41660;57114;Investor Mountains
7;32088;34649;incubate matrix;Account;ROI;deposit Card Account;70912;9(E.U.A.-9) Home;Gorgeous microchip synthesize;58370;79566;AI
8;12918;29602;fuchsia Garden maximized;Pants Fantastic;Accounts;Associate Designer Cross-platform;46163;Corporate Account;definition parse deliverables;41557;9991;Account disintermediate Peso
9;77348;71167;Road Rican;Central Cedi;Branding Dynamic Infrastructure;Granite;98329;structure object-oriented;initiatives Executive;30518;75254;implement hack
10;88269;90718;Bike Innovative Bosnia;1080p Oklahoma Soft;secondary invoice;copy input Shilling;62323;indexing optimize matrix;Robust Group maximized;94311;41680;best-of-breed viral
